Qué,Pregunta,Respuesta,Nivel CSV,Nivel en el juego
nivel cambiado,Nombra una comunidad autónoma de España,Aragón,1,2
nivel cambiado,Nombra una comunidad autónoma de España,Cantabria,2,3
nivel cambiado,Nombra una comunidad autónoma de España,Castilla y León,3,2
nivel cambiado,Nombra una comunidad autónoma de España,Castilla-La Mancha,3,2
nivel cambiado,Nombra una comunidad autónoma de España,Cataluña,3,1
nivel cambiado,Nombra una comunidad autónoma de España,Comunitat Valenciana,3,1
nivel cambiado,Nombra una comunidad autónoma de España,Extremadura,3,2
nivel cambiado,Nombra una comunidad autónoma de España,Galicia,3,1
nivel cambiado,Nombra una comunidad autónoma de España,Comunidad de Madrid,4,1
nivel cambiado,Nombra una comunidad autónoma de España,Región de Murcia,4,2
nivel cambiado,Nombra una comunidad autónoma de España,Comunidad Foral de Navarra,4,3
nivel cambiado,Nombra una comunidad autónoma de España,País Vasco,4,1
nivel cambiado,Nombra una comunidad autónoma de España,La Rioja,4,3
nivel cambiado,Nombra una provincia de España,Almería,1,2
nivel cambiado,Nombra una provincia de España,Córdoba,1,2
nivel cambiado,Nombra una provincia de España,Huelva,1,2
nivel cambiado,Nombra una provincia de España,Málaga,2,1
nivel cambiado,Nombra una provincia de España,Sevilla,2,1
nivel cambiado,Nombra una provincia de España,Huesca,2,3
nivel cambiado,Nombra una provincia de España,Teruel,2,4
nivel cambiado,Nombra una provincia de España,Zaragoza,2,1
nivel cambiado,Nombra una provincia de España,Asturias,2,1
nivel cambiado,Nombra una provincia de España,Cantabria,3,2
nivel cambiado,Nombra una provincia de España,Ávila,3,4
nivel cambiado,Nombra una provincia de España,Burgos,3,2
nivel cambiado,Nombra una provincia de España,León,3,2
nivel cambiado,Nombra una provincia de España,Palencia,3,5
nivel cambiado,Nombra una provincia de España,Salamanca,3,2
nivel cambiado,Nombra una provincia de España,Segovia,3,2
nivel cambiado,Nombra una provincia de España,Soria,3,4
nivel cambiado,Nombra una provincia de España,Valladolid,3,2
nivel cambiado,Nombra una provincia de España,Zamora,3,5
nivel cambiado,Nombra una provincia de España,Cuenca,3,4
nivel cambiado,Nombra una provincia de España,Guadalajara,3,4
nivel cambiado,Nombra una provincia de España,Toledo,3,2
nivel cambiado,Nombra una provincia de España,Barcelona,4,1
nivel cambiado,Nombra una provincia de España,Girona,4,2
nivel cambiado,Nombra una provincia de España,Lleida,4,3
nivel cambiado,Nombra una provincia de España,Tarragona,4,2
nivel cambiado,Nombra una provincia de España,Alicante,4,1
nivel cambiado,Nombra una provincia de España,Castellón,4,2
nivel cambiado,Nombra una provincia de España,Valencia,4,1
nivel cambiado,Nombra una provincia de España,Badajoz,4,2
nivel cambiado,Nombra una provincia de España,Cáceres,4,2
nivel cambiado,Nombra una provincia de España,A Coruña,4,2
nivel cambiado,Nombra una provincia de España,Lugo,4,3
nivel cambiado,Nombra una provincia de España,Ourense,4,3
nivel cambiado,Nombra una provincia de España,Pontevedra,4,2
nivel cambiado,Nombra una provincia de España,Madrid,4,1
nivel cambiado,Nombra una provincia de España,Murcia,4,1
nivel cambiado,Nombra una provincia de España,Navarra,4,2
